ArticleID,SentenceID,StrLabel,Label,Anchor,Publisher
76034,888707,Liberal,1,Mondays funeral service for Valentina came two weeks after she was killed by an LAPD police officer while shopping for clothes with her mother in North Hollywood,Los Angles
80828,921475,Conservative,0,On Fox News Carlson who has long supported Rittenhouse and commended the jury as brave enough to reach the right and obvious conclusion said his film crew had been with the teen for days,Houston Chronicle
80510,954254,Liberal,1,Too many people are puffed up on the false belief that simply owning a gun is a testament to their citizenship and authority,Washington post
56203,397200,Liberal,1,Adams the clerk of Glynn County Superior Court said  people were instructed to report to the gym on Monday another  he said could be called next Monday if a jury has not yet been seated,NY Times
59733,724892,Liberal,1,They cant stop someone in the middle of the road hop out with guns create a dangerous situation and avail themselves of stand your ground or self-defense,CNN
52522,462751,Liberal,1,Before airing his interview with Rittenhouse Carlson declared During the course of our long conversation Kyle Rittenhouse struck us as bright decent sincere dutiful and hardworking,CNN
66950,429984,Liberal,1,He said there were places in Glynn County where Black people have long felt unwelcome — including the neighborhood where Mr Arbery was killed,NY Times
23951,692130,Liberal,1,We’re confident that this jury will seriously consider all the evidence and come back with a verdict that is reflective of what actually happened which is the brutal and unjustified murder of Ahmaud Arbery he said,NY Times
80564,233383,Conservative,0,He also hurled accusations at Kenosha County Assistant District Attorney Thomas Binger alleging prosecutorial misconduct and saying he worried about defendants who didn’t have the money to fight for themselves like he did,Chicago Tribune
33086,790444,Liberal,1,The testimony has at times favored the prosecutions case that Rittenhouse committed five felonies and a misdemeanor in Kenosha Wisconsin on the night of August,CNN
64146,888748,Liberal,1,This is a weird tick of Rittenhouse’s defenders who repeatedly insist he was trying to secure his town or his community despite the fact that he does not live in Kenosha or even the state of Wisconsin,Washington post
10236,135086,Liberal,1,He admitted he did not know what Rosenbaum was thinking when he chased him -- but also stated confidently what he thought would have happened,CNN
91462,823216,Liberal,1,The trial beganTuesday with opening statements as prosecutors and defense attorneys offered competing versions of what happened last August after the police shooting of Jacob Blake sparked chaotic unrest in Kenosha,CNN
31701,692144,Conservative,0,The gun was purchased by Dominick Black for Rittenhouse who was  at the time and unable to legally buy a gun and was to become the legal property of Kyle Rittenhouse upon his th birthday which was Jan   the motion stated,Houston Chronicle
31549,233408,Liberal,1,I hope that there is something learned from these types of cases and that we can move forward as a country and still exercise those constitutional rights we have but also accept the responsibility when they step over the line,CNN
51762,692163,Conservative,0,Rittenhouse was widely mocked on the left when he cried on the stand while testifying about the shootings last week,Fox
42402,364484,Liberal,1,Under Wisconsin law someone can lawfully use deadly force only if he or she reasonably believes that such force is necessary to prevent imminent death or great bodily harm to himself or herself,NY Times
68936,528331,Liberal,1,In one instance Rosenbaum screamed if I catch any of you fkers alone Ill fking kill you according to Rittenhouse,CNN
69382,724940,Liberal,1,Gregory McMichael  and his son Travis McMichael  told police they suspected Arbery was a fleeing burglar their neighbor William Roddie Bryan recorded cellphone video as he drove his truck in pursuit before the younger McMichael shot Arbery dead,Los Angles
66385,888782,Liberal,1,He said we dont want any more Black pastors coming in here or other Jesse Jackson whoever was in here earlier this week sitting with the victims family trying to influence a jury in this case,CNN
60689,823248,Liberal,1,Bamberg a -year-old Democratic state representative has represented families in several high-profile cases after police shootings including that of Alton Sterling in Baton Rouge La,Los Angles
32654,561104,Liberal,1,In elementary school Mr Baker was heavy and shy but Mr Arbery was the funniest guy on the bus and often the fastest boy on the football field,NY Times
77562,659411,Liberal,1,It was mentioned by both political campaigns and the presidential campaign last year in some instances very very imprudently he said,Los Angles
